id,ticker,side,limit_price,shares,placed_date,status,filled_date,fill_price,gap_pct,cancel_reason,position_id,adjustments_count,original_limit_price
62,UMAC,buy,22.5492,43.0,2026-09-03,open,,,,,,0,
61,ASM,buy,7.3957,131.0,2026-08-29,filled,2026-08-31,7.3957,3.25,,35,0,
60,JBIO,buy,19.1728,50.0,2026-08-29,open,,,,,,0,
59,RZLV,buy,2.85,342.0,2026-08-29,filled,2026-08-31,2.85,1.75,,39,0,
58,UROY,buy,4.114,238.0,2026-08-28,filled,2026-09-01,4.114,2.04,,43,0,
57,CNXC,buy,27.8399,35.0,2026-08-28,open,,,,,,0,
56,MUX,buy,20.7985,47.0,2026-08-28,filled,2026-08-31,20.7985,4.25,,38,0,
55,ABSI,buy,8.6664,113.0,2026-08-28,filled,2026-08-31,8.6664,0.54,,34,0,
54,AKTS,buy,24.0856,40.0,2026-08-28,open,,,,,,0,
53,VZLA,buy,4.0653,241.0,2026-08-28,filled,2026-08-31,4.0653,3.7,,40,0,
52,OLMA,buy,9.9862,91.0,2026-08-28,open,,,,,,1,10.7673
51,UAMY,buy,4.8576,201.0,2026-08-27,filled,2026-08-28,4.8576,2.73,,32,0,
50,AVBP,buy,30.6518,31.0,2026-08-27,filled,2026-08-28,30.6518,2.94,,29,0,
49,GENB,buy,14.8488,65.0,2026-08-27,filled,2026-08-28,14.8488,0.71,,30,0,
48,WOLF,buy,24.7756,39.0,2026-08-27,open,,,,,,0,
47,TRLV,buy,10.5156,93.0,2026-08-27,open,,,,,,0,
46,AEVA,buy,15.0092,65.0,2026-08-27,filled,2026-09-01,15.0092,1.59,,41,0,
45,AGL,buy,92.233,10.0,2026-08-27,filled,2026-08-28,92.233,1.35,,28,0,
44,CNL,buy,16.175,60.0,2026-08-25,filled,2026-08-26,16.175,0.34,,25,0,
43,APPS,buy,9.9636,98.0,2026-08-25,filled,2026-09-01,9.9636,0.44,,44,0,
42,LWLG,buy,5.4648,179.0,2026-08-25,filled,2026-08-31,5.4648,3.02,,37,0,
41,USAS,buy,5.3875,181.0,2026-08-25,filled,2026-08-28,5.3875,0.79,,33,0,
40,GRPN,buy,18.0228,54.0,2026-08-25,open,,,,,,0,
39,RXRX,buy,3.5417,276.0,2026-08-25,filled,2026-08-26,3.5417,3.15,,26,0,
38,RZLV,buy,2.85,344.0,2026-08-25,filled,2026-08-26,2.85,0.7,,27,0,
37,LXRX,buy,2.1344,456.0,2026-08-24,open,,,,,,0,
36,POET,buy,7.6815,126.0,2026-08-24,filled,2026-08-28,7.6815,2.56,,31,0,
35,UMAC,buy,22.6044,43.0,2026-08-24,filled,2026-09-01,22.6044,0.37,,42,0,
34,CMPS,buy,12.2636,80.0,2026-08-21,cancelled,,,,inte fylld inom 10 dagar,,0,
33,KOS,buy,2.9025,338.0,2026-08-21,filled,2026-08-24,2.9025,1.46,,23,0,
32,AKTS,buy,23.9682,40.0,2026-08-21,filled,2026-08-24,23.9682,4.21,,22,0,
31,SGML,buy,11.0711,88.0,2026-08-21,cancelled,,,,inte fylld inom 10 dagar,,0,
30,ULCC,buy,5.4832,179.0,2026-08-21,cancelled,,,,inte fylld inom 10 dagar,,0,
29,NTLA,buy,11.5025,84.0,2026-08-20,cancelled,,,,inte fylld inom 10 dagar,,0,
28,AEVA,buy,17.3604,56.0,2026-08-20,filled,2026-08-24,17.3604,2.36,,21,0,
27,RXT,buy,2.99,326.0,2026-08-20,cancelled,,,,inte fylld inom 10 dagar,,0,
26,FCEL,buy,16.8912,57.0,2026-08-20,filled,2026-08-31,16.8912,0.92,,36,0,
25,RCAT,buy,9.1488,106.0,2026-08-20,filled,2026-08-24,9.1488,3.16,,24,0,
24,RHLD,buy,113.1264,8.0,2026-08-19,cancelled,,,,inte fylld inom 10 dagar,,0,
23,USAS,buy,5.3125,186.0,2026-08-19,filled,2026-08-20,5.3125,0.99,,20,0,
22,AMPX,buy,10.5277,94.0,2026-08-19,filled,2026-08-20,10.5277,3.59,,17,0,
21,UAMY,buy,5.5008,179.0,2026-08-19,filled,2026-08-20,5.5008,5.38,,19,0,
20,INBX,buy,99.394,9.0,2026-08-19,filled,2026-08-20,99.394,2.85,,18,0,
19,NBTX,buy,38.7237,25.0,2026-08-18,cancelled,,,,inte fylld inom 10 dagar,,0,
18,ASM,buy,6.7837,145.0,2026-08-18,cancelled,,,,inte fylld inom 10 dagar,,0,
17,UMAC,buy,28.1336,35.0,2026-08-18,filled,2026-08-19,28.1336,2.86,,14,0,
16,FCEL,buy,21.6825,45.0,2026-08-18,filled,2026-08-19,21.6825,9.88,,13,0,
15,TRLV,buy,9.1646,109.0,2026-08-15,cancelled,,,,inte fylld inom 10 dagar,,0,
14,NTLA,buy,11.5025,86.0,2026-08-15,filled,2026-08-18,11.5025,0.54,,12,0,
13,LWLG,buy,7.424,134.0,2026-08-15,filled,2026-08-17,7.424,3.69,,3,0,
12,SHLS,buy,8.112,123.0,2026-08-15,filled,2026-08-18,8.112,1.13,,10,0,
11,RZLV,buy,2.53,395.0,2026-08-15,filled,2026-08-18,2.53,0.79,,9,0,
10,JBIO,buy,22.7332,43.0,2026-08-15,filled,2026-08-19,22.7332,1.33,,15,0,
9,NNE,buy,18.8736,52.0,2026-08-15,filled,2026-08-18,18.8736,2.19,,6,0,
8,POET,buy,8.8136,113.0,2026-08-15,filled,2026-08-18,8.8136,1.74,,7,0,
7,AMPX,buy,12.1682,82.0,2026-08-15,filled,2026-08-17,12.1682,4.42,,1,0,
6,UAMY,buy,5.2896,189.0,2026-08-15,filled,2026-08-18,5.2896,0.56,,11,0,
5,RCAT,buy,10.6488,93.0,2026-08-15,filled,2026-08-17,10.6488,3.84,,4,0,
4,FCEL,buy,21.6825,46.0,2026-08-15,filled,2026-08-17,21.6825,0.2,,2,0,
3,AEVA,buy,21.4176,46.0,2026-08-15,filled,2026-08-18,21.4176,0.01,,5,0,
2,AGL,buy,92.233,10.0,2026-08-15,filled,2026-08-20,92.233,0.24,,16,0,
1,RXT,buy,3.8732,258.0,2026-08-15,filled,2026-08-18,3.8732,3.96,,8,0,
